sample	chr	start	end	num.mark	log2	beta	nsnp	cov	n_beta	log2.corr	cnA	cnB	cnA.int	cnB.int
Sample.1	15	20083655	20747053	246	-1.0031	0.471	37	88.7027027027027	0.635	-1.3003379657367	0.81647904058041	-0.00441690018298075	1	0
Sample.1	15	20747106	20747206	2	0.269	NA	0	NA	NA	0.588824676595805	NA	NA	NA	NA
Sample.1	15	20767670	21369178	129	-0.9204	0.832	11	70.1818181818182	0.691	-1.14622036562731	0.589847966924702	0.313766725923469	1	0
Sample.1	15	21369278	21369978	8	-1.6179	NA	0	NA	NA	-2.86973687110018	NA	NA	NA	NA
Sample.1	15	21370078	23606974	729	-0.8019	0.584	99	73.5959595959596	0.798	-0.937472376838895	0.893223007985594	0.15107076925588	1	0
Sample.1	15	23608243	23609344	7	-1.5333	NA	1	30	NA	-2.5785284265167	NA	NA	NA	NA
Sample.1	15	23609444	28835328	1242	-0.7369	0.485	97	66.0103092783505	0.961	-0.82813959461841	1.04381094561894	0.082699276907986	1	0
Sample.1	15	28857131	28882316	8	-1.665	NA	0	NA	NA	-3.05244915705222	NA	NA	NA	NA
Sample.1	15	28885280	28885579	4	-0.4788	NA	0	NA	NA	-0.422645214353202	NA	NA	NA	NA
Sample.1	15	28886435	28894142	6	-1.1205	NA	0	NA	NA	-1.53368924354609	NA	NA	NA	NA
Sample.1	15	28899307	28899607	4	-0.3107	NA	2	47.5	NA	-0.177949963961972	NA	NA	NA	NA
Sample.1	15	28900435	28929634	24	-1.3721	NA	0	NA	NA	-2.11449411158605	NA	NA	NA	NA
Sample.1	15	28929734	82620613	21946	-0.6926	0.498	1055	48.4199052132701	1	-0.755472680464437	1.0753843530407	0.109320201105756	1	0
Sample.1	15	82622035	82622335	4	-1.817	NA	0	NA	NA	-3.80595005235854	NA	NA	NA	NA
Sample.1	15	82626519	102293836	5443	0.0966	0.286	475	92.7810526315789	0.986	0.370673798954265	2.48020972612459	0.105703382794626	2	0
Sample.1	15	102293936	102294236	4	-0.856	NA	0	NA	NA	-1.03115993162059	NA	NA	NA	NA
Sample.1	15	102294326	102295580	6	0.3358	NA	1	33	NA	0.67158871728287	NA	NA	NA	NA
Sample.1	15	102296922	102297643	6	-0.5467	NA	0	NA	NA	-0.525430297636485	NA	NA	NA	NA
Sample.1	15	102300192	102516723	160	0.1876	0.395	21	121.571428571429	0.906	0.486683227067913	2.47272482060892	0.329714677610704	2	0
Sample.1	16	64098	64344	4	-1.1273	NA	0	NA	NA	-1.54780671624767	NA	NA	NA	NA
Sample.1	16	64444	2794514	4057	-0.1802	0.988	410	65.3365853658537	0.984	0.00383424131692131	1.01913151926138	0.986190937452048	1	1
Sample.1	16	2794851	2795151	4	-0.9575	NA	0	NA	NA	-1.21441818080597	NA	NA	NA	NA
Sample.1	16	2806219	4312607	1535	-0.1661	0.992	118	57.5	0.982	0.0231008714750297	1.02722922147312	1.00505315424817	1	1
Sample.1	16	4312707	4312907	3	-1.0877	NA	0	NA	NA	-1.46657311035628	NA	NA	NA	NA
Sample.1	16	4322588	87970103	26692	-0.4554	0.714	1484	56.3524258760108	0.995	-0.387783697803873	1.08867427820924	0.439931408091586	1	0
Sample.1	16	87984989	87985189	3	0.3063	NA	0	NA	NA	0.63515148768272	NA	NA	NA	NA
Sample.1	16	88008403	88071646	42	-0.7237	NA	4	43	NA	-0.80633701007712	NA	NA	NA	NA
Sample.1	16	88098817	88104896	4	0.0085	NA	0	NA	NA	0.256349621031001	NA	NA	NA	NA
Sample.1	16	88104996	89256915	785	-0.707	0.559	100	55.14	1	-0.77893743858914	1.00291843920143	0.162673302867043	1	0
Sample.1	16	89257579	89259924	5	0.0388	NA	0	NA	NA	0.295904446860017	NA	NA	NA	NA
Sample.1	16	89261151	90076450	915	-0.7184	0.458	42	46.2619047619048	0.968	-0.797619290741362	1.08757486936355	0.0630206117504493	1	0
Sample.1	16	90093930	90094130	3	-1.5487	NA	0	NA	NA	-2.62854595492597	NA	NA	NA	NA
Sample.1	16	90095303	90260630	141	-0.5986	0.57	20	54.5	0.966	-0.605741061941686	1.09874235380249	0.215525139780838	1	0
Sample.1	17	5921	11523074	9668	-0.1784	0.332	628	58.0015923566879	1	0.00629766111869474	1.92236557187859	0.0863839229989949	2	0
Sample.1	17	11532651	11532951	4	-1.3973	NA	0	NA	NA	-2.18099579846726	NA	NA	NA	NA
Sample.1	17	11535781	18329908	2915	-0.6362	0.454	186	58.7849462365591	0.987	-0.664943063926351	1.17702842348283	0.0843987666897157	1	0
Sample.1	17	18330508	18334067	15	-1.3463	NA	0	NA	NA	-2.048309437259	NA	NA	NA	NA
Sample.1	17	18334167	25967971	1958	-0.6534	0.685	364	78.5934065934066	0.802	-0.692325702451772	0.93030172268471	0.307409111337559	1	0
Sample.1	17	25968071	25969382	4	-1.576	NA	0	NA	NA	-2.72030080018095	NA	NA	NA	NA
Sample.1	17	25970444	26912425	676	-0.6375	0.484	34	49.3823529411765	0.962	-0.667005955063771	1.14564489871671	0.113979881821833	1	0
Sample.1	17	26912525	26912725	3	-1.3697	NA	0	NA	NA	-2.10825845549101	NA	NA	NA	NA
Sample.1	17	26912825	28011706	1408	-0.6235	0.487	53	42.9433962264151	0.979	-0.644847204784994	1.1573947967718	0.121726248495092	1	0
Sample.1	17	28022372	28030028	5	0.0394	NA	0	NA	NA	0.296685163662311	NA	NA	NA	NA
Sample.1	17	28088031	34493383	2932	-0.6001	0.418	115	52.3304347826087	0.988	-0.608086012614178	1.25315749569955	0.0589755279754779	1	0
