sample	chr	start	end	num.mark	log2	beta	nsnp	cov	n_beta
Sample.1	15	20083655	20747053	246	-1.0031	0.471	37	88.7027027027027	0.635
Sample.1	15	20747106	20747206	2	0.269	NA	0	NA	NA
Sample.1	15	20767670	21369178	129	-0.9204	0.832	11	70.1818181818182	0.691
Sample.1	15	21369278	21369978	8	-1.6179	NA	0	NA	NA
Sample.1	15	21370078	23606974	729	-0.8019	0.584	99	73.5959595959596	0.798
Sample.1	15	23608243	23609344	7	-1.5333	NA	1	30	NA
Sample.1	15	23609444	28835328	1242	-0.7369	0.485	97	66.0103092783505	0.961
Sample.1	15	28857131	28882316	8	-1.665	NA	0	NA	NA
Sample.1	15	28885280	28885579	4	-0.4788	NA	0	NA	NA
Sample.1	15	28886435	28894142	6	-1.1205	NA	0	NA	NA
Sample.1	15	28899307	28899607	4	-0.3107	NA	2	47.5	NA
Sample.1	15	28900435	28929634	24	-1.3721	NA	0	NA	NA
Sample.1	15	28929734	82620613	21946	-0.6926	0.498	1055	48.4199052132701	1
Sample.1	15	82622035	82622335	4	-1.817	NA	0	NA	NA
Sample.1	15	82626519	102293836	5443	0.0966	0.286	475	92.7810526315789	0.986
Sample.1	15	102293936	102294236	4	-0.856	NA	0	NA	NA
Sample.1	15	102294326	102295580	6	0.3358	NA	1	33	NA
Sample.1	15	102296922	102297643	6	-0.5467	NA	0	NA	NA
Sample.1	15	102300192	102516723	160	0.1876	0.395	21	121.571428571429	0.906
Sample.1	16	64098	64344	4	-1.1273	NA	0	NA	NA
Sample.1	16	64444	2794514	4057	-0.1802	0.988	410	65.3365853658537	0.984
Sample.1	16	2794851	2795151	4	-0.9575	NA	0	NA	NA
Sample.1	16	2806219	4312607	1535	-0.1661	0.992	118	57.5	0.982
Sample.1	16	4312707	4312907	3	-1.0877	NA	0	NA	NA
Sample.1	16	4322588	87970103	26692	-0.4554	0.714	1484	56.3524258760108	0.995
Sample.1	16	87984989	87985189	3	0.3063	NA	0	NA	NA
Sample.1	16	88008403	88071646	42	-0.7237	NA	4	43	NA
Sample.1	16	88098817	88104896	4	0.0085	NA	0	NA	NA
Sample.1	16	88104996	89256915	785	-0.707	0.559	100	55.14	1
Sample.1	16	89257579	89259924	5	0.0388	NA	0	NA	NA
Sample.1	16	89261151	90076450	915	-0.7184	0.458	42	46.2619047619048	0.968
Sample.1	16	90093930	90094130	3	-1.5487	NA	0	NA	NA
Sample.1	16	90095303	90260630	141	-0.5986	0.57	20	54.5	0.966
Sample.1	17	5921	11523074	9668	-0.1784	0.332	628	58.0015923566879	1
Sample.1	17	11532651	11532951	4	-1.3973	NA	0	NA	NA
Sample.1	17	11535781	18329908	2915	-0.6362	0.454	186	58.7849462365591	0.987
Sample.1	17	18330508	18334067	15	-1.3463	NA	0	NA	NA
Sample.1	17	18334167	25967971	1958	-0.6534	0.685	364	78.5934065934066	0.802
Sample.1	17	25968071	25969382	4	-1.576	NA	0	NA	NA
Sample.1	17	25970444	26912425	676	-0.6375	0.484	34	49.3823529411765	0.962
Sample.1	17	26912525	26912725	3	-1.3697	NA	0	NA	NA
Sample.1	17	26912825	28011706	1408	-0.6235	0.487	53	42.9433962264151	0.979
Sample.1	17	28022372	28030028	5	0.0394	NA	0	NA	NA
Sample.1	17	28088031	34493383	2932	-0.6001	0.418	115	52.3304347826087	0.988
Sample.1	17	34493467	34495066	6	-1.4592	NA	0	NA	NA
Sample.1	17	34495876	38926267	3385	-0.6163	0.495	146	45.9657534246575	0.984
Sample.1	17	38926367	38927483	6	-1.32	NA	0	NA	NA
Sample.1	17	38927823	39215982	308	-0.5886	0.423	54	59.2037037037037	0.976
Sample.1	17	39216082	39216129	2	-1.7765	NA	0	NA	NA
Sample.1	17	39216193	45096552	5628	-0.5925	0.489	275	56.8581818181818	0.995
Sample.1	17	45096652	45097218	7	0.1131	NA	0	NA	NA
Sample.1	17	45099003	47131633	1456	-0.5895	0.5	64	45.640625	0.981
Sample.1	17	47131733	47133405	6	0.1543	NA	0	NA	NA
Sample.1	17	47210017	48750516	1372	-0.597	0.462	66	42.7272727272727	0.995
Sample.1	17	48750715	48752696	6	-1.2952	NA	1	38	NA
Sample.1	17	48752796	62888760	5779	-0.573	0.454	278	49.6151079136691	1
Sample.1	17	62888860	62891695	8	-1.2955	NA	0	NA	NA
Sample.1	17	62891966	81052511	10271	-0.5655	0.45	823	49.6354799513973	1
Sample.1	17	81187944	81188244	4	0.5152	NA	0	NA	NA
Sample.1	18	47270	28906437	5632	-0.194	0.985	348	63.6925287356322	0.991
Sample.1	18	28906537	28906837	4	-1.3565	NA	0	NA	NA
Sample.1	18	28908043	55287899	4479	-0.4164	0.723	205	47.2585365853659	0.994
Sample.1	18	55288781	55288981	3	-1.3653	NA	0	NA	NA
Sample.1	18	55313648	55328689	31	-0.4059	NA	0	NA	NA
Sample.1	18	55329724	55334332	4	0.4722	NA	1	43	NA
Sample.1	18	55335578	56897633	435	-0.3893	0.79	24	68.25	1
Sample.1	18	56936247	77960723	2403	-1.1076	0.697	119	35.4033613445378	0.988
Sample.1	18	78005080	78005180	2	-0.2895	NA	0	NA	NA
